Timestamp,Valor
2025-11-20 15:16:33.169,43.43%
2025-11-20 15:16:33.671,54.12%
2025-11-20 15:16:34.171,53.35%
2025-11-20 15:16:34.672,68.59%
2025-11-20 15:16:35.173,40.24%
2025-11-20 15:16:35.674,51.44%
2025-11-20 15:16:36.175,46.33%
2025-11-20 15:16:36.675,60.1%
2025-11-20 15:16:37.176,40.15%
2025-11-20 15:16:37.676,62.74%
2025-11-20 15:16:38.178,50.64%
2025-11-20 15:16:38.679,58.2%
2025-11-20 15:16:39.180,57.89%
2025-11-20 15:16:39.681,65.29%
2025-11-20 15:16:40.182,48.12%
2025-11-20 15:16:40.683,56.35%
2025-11-20 15:16:41.183,40.61%
2025-11-20 15:16:41.685,68.22%
2025-11-20 15:16:42.185,48.66%
2025-11-20 15:16:42.686,52.37%
