Timestamp,Valor
2025-11-14 14:26:36.581,50.38%
2025-11-14 14:26:37.084,51.33%
2025-11-14 14:26:37.585,45.1%
2025-11-14 14:26:38.086,44.79%
2025-11-14 14:26:38.587,54.03%
2025-11-14 14:26:39.088,64.54%
2025-11-14 14:26:39.589,58.57%
2025-11-14 14:26:40.091,46.95%
2025-11-14 14:26:40.592,67.65%
2025-11-14 14:26:41.093,66.84%
2025-11-14 14:26:41.594,41.71%
2025-11-14 14:26:42.095,60.9%
2025-11-14 14:26:42.596,45.31%
2025-11-14 14:26:43.096,64.92%
2025-11-14 14:26:43.597,51.09%
2025-11-14 14:26:44.098,60.18%
2025-11-14 14:26:44.651,44.69%
2025-11-14 14:26:45.152,55.16%
2025-11-14 14:26:45.653,41.48%
2025-11-14 14:26:46.154,55.91%
