Timestamp,Valor
2025-11-14 14:26:36.583,20.86°C
2025-11-14 14:26:37.085,24.58°C
2025-11-14 14:26:37.585,21.55°C
2025-11-14 14:26:38.086,22.14°C
2025-11-14 14:26:38.587,24.09°C
2025-11-14 14:26:39.088,22.89°C
2025-11-14 14:26:39.589,21.03°C
2025-11-14 14:26:40.089,23.87°C
2025-11-14 14:26:40.590,25.71°C
2025-11-14 14:26:41.091,20.87°C
2025-11-14 14:26:41.592,21.24°C
2025-11-14 14:26:42.093,22.78°C
2025-11-14 14:26:42.594,23.42°C
2025-11-14 14:26:43.095,21.35°C
2025-11-14 14:26:43.595,25.42°C
2025-11-14 14:26:44.096,20.55°C
2025-11-14 14:26:44.608,19.0°C
2025-11-14 14:26:45.109,19.08°C
2025-11-14 14:26:45.610,24.17°C
2025-11-14 14:26:46.111,19.25°C
